STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600713,0,0,0,200,72
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600714,0,0,0,167,106
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600715,0,0,0,139,94
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600716,0,0,0,206,94
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600717,0,0,0,239,94
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600718,0,0,0,211,106
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600719,0,0,0,150,100
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600720,0,0,0,172,72
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600721,0,0,0,156,56
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600722,0,0,0,139,111
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600723,178,0,0,156,100
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600724,102,0,0,150,111
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600725,124,0,0,144,111
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600726,28,0,0,144,106
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600727,51,0,0,150,100
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600728,112,0,0,133,106
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600729,18,0,0,156,89
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600730,8,0,0,150,83
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600731,150,0,0,133,83
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600801,84,0,0,167,89
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600802,0,0,0,189,72
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600803,10,0,0,139,50
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600804,109,0,0,122,94
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600805,61,0,0,161,94
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600806,76,0,0,183,94
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600807,0,0,0,150,94
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600808,0,0,0,172,72
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600809,0,0,0,250,44
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600810,0,0,0,217,72
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600811,0,0,0,156,89
